County,Race,Age,Gender,Education Level,Employment Status,Income Level,Prior Convictions,Risk Score,Judge Decision,Re-offense
Claiborne County,Black,62,Male,Bachelor's Degree,Employed,34165.96989307567,5,1.949816047538945,1,0
Claiborne County,Black,48,Male,Bachelor's Degree,Employed,73102.34099304,3,7.631000028973883,0,0
Claiborne County,Black,44,Male,High School,Unemployed,78046.90935390777,2,6.278392730173685,1,0
Claiborne County,Black,63,Female,Bachelor's Degree,Employed,121869.32749811883,1,5.098658484197037,0,0
Claiborne County,Black,53,Female,Bachelor's Degree,Employed,73289.62294596473,2,3.724814912353949,1,0
Claiborne County,Black,44,Male,Less than High School,Employed,15389.097393626944,0,4.655994520336203,0,1
Claiborne County,Black,18,Male,Bachelor's Degree,Employed,124371.74803063174,1,7.292933779469119,0,0
Claiborne County,White,58,Female,Some College,Unemployed,15415.065835432773,5,7.51264660408491,0,0
Claiborne County,White,20,Female,Less than High School,Unemployed,14348.049236346576,0,6.121338014091851,1,0
Claiborne County,Black,24,Male,Some College,Employed,34956.499177856844,0,8.332916124473673,0,0
Claiborne County,Black,42,Male,Less than High School,Employed,33367.64760064149,1,2.7123506965774813,1,0
Claiborne County,White,67,Male,Some College,Employed,14343.97980518303,6,5.469909852161995,0,1
Claiborne County,Black,19,Male,PhD,Employed,78048.28090008307,1,7.465419697120591,1,0
Claiborne County,Black,51,Male,Less than High School,Unemployed,14458.868056676392,1,3.769871288542621,1,1
Claiborne County,Black,72,Male,High School,Employed,15048.631023412823,2,3.7454599737656804,1,0
Claiborne County,Black,37,Male,Less than High School,Employed,34688.83460910247,6,2.8100427059120605,0,0
Claiborne County,Black,56,Female,Bachelor's Degree,Employed,73855.07494694131,3,4.804242242959537,0,0
Claiborne County,Black,74,Female,Master's Degree,Employed,129997.91682109091,3,2.009902572652895,1,0
Claiborne County,Black,53,Male,Bachelor's Degree,Employed,71413.67547581617,1,7.891112029827386,1,0
Claiborne County,Black,73,Male,Less than High School,Unemployed,35573.26390161456,1,5.749474968237651,0,0
Claiborne County,Black,33,Female,Some College,Unemployed,15695.091651320326,1,10.22370578944476,0,0
Claiborne County,Black,65,Male,High School,Employed,75451.26137596382,3,1.8557975442608168,1,0
Claiborne County,Black,29,Male,Less than High School,Unemployed,15655.233693049637,1,8.625860367363392,1,1
Claiborne County,Black,39,Female,Less than High School,Employed,14328.386818929035,2,3.8930894746349534,0,1
Claiborne County,Black,23,Female,Bachelor's Degree,Employed,74390.94989305621,1,7.929711974747258,1,1
Claiborne County,Black,48,Male,High School,Unemployed,34160.55226836718,0,7.399246345950219,0,0
Claiborne County,Black,30,Male,High School,Unemployed,15346.231447471093,2,3.759739025726688,0,1
Claiborne County,White,37,Female,Some College,Employed,78609.72817872935,1,5.014234438413611,1,0
Claiborne County,Black,54,Male,Bachelor's Degree,Employed,73173.97546833186,3,5.092414568862043,0,0
Claiborne County,Black,58,Female,Some College,Employed,15231.26190221111,0,3.6371603301759983,1,1
Claiborne County,Black,65,Male,Less than High School,Unemployed,33943.34171465909,1,6.129053822281726,0,0
Claiborne County,Black,38,Male,Some College,Unemployed,15097.995381857414,4,5.60462894842475,0,1
Claiborne County,Black,57,Male,High School,Unemployed,124549.1560836042,6,5.478061911582335,0,1
Claiborne County,Black,75,Male,High School,Employed,15708.007994447305,1,8.718216859605334,0,1
Claiborne County,Black,67,Female,Less than High School,Employed,35379.84545443763,2,4.372505626459647,1,0
Claiborne County,Black,31,Female,High School,Employed,34473.27230230386,0,8.493435756986338,0,1
Claiborne County,Black,73,Male,Some College,Employed,33649.33524710777,0,5.765536523008045,0,0
Claiborne County,Black,25,Male,Some College,Unemployed,120640.58535918668,0,6.4367409596089376,0,1
Claiborne County,White,32,Male,High School,Unemployed,34038.60925482932,2,8.294772842419452,0,0
Claiborne County,Black,52,Male,Bachelor's Degree,Employed,73132.24996005223,1,5.928182992487521,0,0
Claiborne County,Black,30,Male,Master's Degree,Employed,129382.70072301422,1,2.7732229409068676,1,0
Claiborne County,Black,20,Female,Less than High School,Unemployed,15091.834182423787,0,3.9961415280890162,1,0
Claiborne County,Black,71,Female,Bachelor's Degree,Employed,35081.86818981028,2,6.348143929561306,0,0
Claiborne County,Black,27,Male,High School,Employed,33651.69105154226,1,4.327456321663026,1,0
Claiborne County,Black,20,Male,High School,Unemployed,15540.209540024152,1,9.517559963200034,1,1
Claiborne County,Black,55,Male,High School,Unemployed,35779.85006122969,1,9.292540111837168,0,1
Claiborne County,Black,50,Male,High School,Unemployed,14351.502542850001,4,5.774053291307293,0,1
Claiborne County,Black,75,Female,High School,Employed,76558.76322922327,3,4.016054416942248,1,0
Claiborne County,Black,75,Male,Bachelor's Degree,Employed,35152.38376069925,3,4.0373682234746235,0,0
Claiborne County,Black,59,Female,High School,Employed,14372.588018620167,1,6.558796237735738,0,1
Claiborne County,Black,52,Male,High School,Employed,14937.450962292984,1,6.5635015533174705,1,1
Claiborne County,Black,61,Female,Bachelor's Degree,Employed,124808.70358912558,0,3.165079694016669,1,0
Claiborne County,Black,43,Male,Less than High School,Employed,120822.18175204094,0,9.79109809481554,1,1
Claiborne County,Black,22,Male,High School,Employed,36559.943514500985,1,7.5527582905987085,0,0
Claiborne County,Black,19,Male,High School,Employed,15524.963057220994,0,7.13705997033552,1,1
Claiborne County,Black,36,Male,High School,Employed,76267.66752996831,1,3.25312454101387,1,1
Claiborne County,Black,56,Male,High School,Unemployed,14943.44334150091,1,5.5061910024623035,0,1
Claiborne County,Black,32,Female,Bachelor's Degree,Employed,123897.06926980635,1,5.635179434902974,0,0
Claiborne County,Black,63,Female,High School,Employed,76132.30100363216,1,7.272363662256861,0,1
Claiborne County,Black,58,Male,Master's Degree,Employed,75340.73902055179,0,4.825330330763265,0,1
Claiborne County,Black,53,Male,Bachelor's Degree,Employed,71717.04829411414,3,3.9109418317515856,0,0
Claiborne County,White,22,Male,Bachelor's Degree,Employed,15018.753973155497,1,5.725618838128675,0,1
Claiborne County,Black,39,Male,Some College,Employed,15459.60542584926,1,6.394485010982315,0,1
Claiborne County,Black,75,Female,Some College,Employed,74694.29908197718,0,4.856753326693589,0,0
Claiborne County,Black,53,Female,Bachelor's Degree,Employed,71639.674331657,2,8.605682117437285,0,0
Claiborne County,White,39,Male,Master's Degree,Employed,36001.973697844114,1,7.059774516421548,0,0
Claiborne County,Black,40,Female,Bachelor's Degree,Employed,33954.77323747591,6,7.425478759959621,0,1
Claiborne County,Black,29,Male,Less than High School,Employed,34155.17292210813,2,7.423075773055655,0,1
Claiborne County,Black,31,Male,High School,Unemployed,72485.29765074221,2,3.659640514943817,1,0
Claiborne County,Black,18,Male,Bachelor's Degree,Employed,73726.61298653623,0,10.973773873201033,0,1
Claiborne County,Black,74,Male,Less than High School,Employed,35898.63026991022,1,4.217795815437326,1,0
Claiborne County,Black,29,Male,Less than High School,Employed,15029.078789255906,0,7.517945090454676,0,0
Claiborne County,Black,60,Female,Bachelor's Degree,Employed,121311.01592688389,4,5.406626540548324,0,1
Claiborne County,Black,34,Female,Less than High School,Employed,77833.72558614031,5,9.567830571218702,0,1
Claiborne County,Black,68,Male,Some College,Unemployed,15569.372782427294,2,9.37234321892571,1,1
Claiborne County,Black,23,Female,Some College,Employed,129632.23031307508,1,3.137404300824593,1,0
Claiborne County,Black,58,Female,High School,Employed,34085.786739835385,0,5.271270346685945,0,1
Claiborne County,White,43,Male,Less than High School,Employed,14926.85901627148,0,3.6592357213872724,1,1
Claiborne County,Black,53,Female,Some College,Employed,36697.463796493066,3,8.74523831137969,0,0
Claiborne County,Black,54,Male,Master's Degree,Employed,77040.09357232493,2,4.61586905952513,1,1
Claiborne County,Black,42,Female,Some College,Unemployed,33345.08597428946,2,9.65358616657607,0,1
Claiborne County,Black,71,Female,Bachelor's Degree,Employed,33478.21606941172,2,7.172617377558581,0,0
Claiborne County,Black,59,Female,Bachelor's Degree,Employed,124549.14221015415,2,7.729436839764239,0,0
Claiborne County,Black,64,Female,Some College,Employed,15613.83030879234,1,7.301693360457638,1,0
Claiborne County,Black,71,Male,Master's Degree,Employed,35135.4562928345,1,2.8865893930293973,0,0
Claiborne County,Black,32,Female,Bachelor's Degree,Employed,124972.65635042862,2,7.720293315242795,0,1
Claiborne County,Other,21,Female,High School,Unemployed,33619.15794984821,2,8.367369885340903,0,1
Claiborne County,Black,36,Male,Less than High School,Employed,35548.730366535034,2,7.192580459897298,0,0
Claiborne County,Black,67,Male,Some College,Employed,77415.77370450168,2,7.542097839606857,1,0
Claiborne County,Black,32,Male,Master's Degree,Employed,34581.47002627647,2,5.966657910194339,0,0
Claiborne County,Black,63,Female,Less than High School,Employed,77067.08888193996,2,2.771756547562981,0,0
Claiborne County,Black,18,Male,Some College,Employed,15696.714980851217,2,3.127946872333797,1,1
Claiborne County,Black,75,Male,High School,Unemployed,33963.18260694691,3,4.208628038893518,1,0
Claiborne County,Black,50,Male,High School,Unemployed,35081.6537091816,4,8.098043516111193,0,1
Claiborne County,Black,61,Male,Some College,Employed,14680.706937126863,2,5.270967179954561,0,0
Claiborne County,White,27,Female,Master's Degree,Employed,128660.68023792299,1,4.993795596364391,1,0
Claiborne County,Black,37,Male,Some College,Unemployed,15116.390048821735,1,5.022732829381994,0,1
Claiborne County,Black,72,Male,Some College,Unemployed,76009.36813162729,1,7.88406562937368,0,1
Claiborne County,Black,39,Female,High School,Employed,15446.87123942384,1,5.4305029520929144,0,0
Claiborne County,Black,49,Female,Less than High School,Employed,34635.89665431859,3,3.6863131415946437,1,0
Claiborne County,Black,19,Female,Some College,Employed,36452.81523942465,0,4.531429185686735,0,0
Claiborne County,Black,48,Female,High School,Employed,75247.71650434604,3,5.136410411263781,1,0
Claiborne County,Black,41,Female,High School,Unemployed,14486.932234253021,2,5.777227177291593,1,0
Claiborne County,Black,47,Male,Master's Degree,Employed,15293.848677253205,3,3.005142414698822,0,1
Claiborne County,Black,47,Female,High School,Employed,36026.41472653389,1,7.57059306349653,1,0
Claiborne County,Black,45,Male,High School,Employed,14725.142515601288,1,2.849575337489325,1,1
Claiborne County,Black,51,Female,Some College,Employed,77678.84442749064,5,8.838689261464134,0,1
Claiborne County,White,67,Female,Some College,Employed,15609.214882148648,4,7.357771593960268,0,0
Claiborne County,Black,31,Female,High School,Employed,34219.16570582233,4,3.7830385323932982,1,1
Claiborne County,Black,18,Male,High School,Unemployed,15725.282209072833,0,3.6615839278630347,1,1
Claiborne County,Black,74,Male,High School,Employed,14461.067292073136,2,3.8318011623310144,1,1
Claiborne County,Black,49,Female,Some College,Employed,33957.054839408716,2,4.661221287254004,0,0
Claiborne County,Black,23,Female,Some College,Unemployed,72631.68629428519,2,2.1718790609370293,1,0
Claiborne County,Black,54,Male,High School,Unemployed,77954.92282505902,1,6.369744455477301,0,0
Claiborne County,Black,41,Female,High School,Unemployed,35540.02393313737,4,4.106723005208339,1,1
Claiborne County,White,51,Male,Master's Degree,Employed,33782.36499127795,2,6.445752708225261,1,0
Claiborne County,Black,63,Male,High School,Employed,74552.42563776262,1,5.303672076899115,0,0
Claiborne County,Black,59,Female,Less than High School,Employed,15172.947037604701,2,7.4985120942176575,1,0
Claiborne County,Black,39,Male,High School,Employed,14375.196127484074,3,3.235535399093987,1,0
Claiborne County,Black,56,Male,High School,Unemployed,129780.20460509174,0,6.047210690298781,0,0
Claiborne County,Black,71,Male,Bachelor's Degree,Employed,77277.0265158115,4,8.4919042482625,1,1
Claiborne County,Black,28,Female,Less than High School,Unemployed,35018.223707518235,0,5.396091299923493,1,0
Claiborne County,Black,33,Male,High School,Unemployed,15700.689922888756,1,7.708805559954983,1,1
Claiborne County,Black,68,Male,Some College,Employed,14876.641468912649,1,9.220103849055354,0,1
Claiborne County,Black,32,Female,Less than High School,Employed,36694.38611662774,3,8.510283292575496,0,0
Claiborne County,Black,57,Female,High School,Employed,15251.87999820544,3,7.8833724618020105,0,1
Claiborne County,Black,20,Male,Some College,Employed,76010.03454940456,1,8.508823625475989,0,0
Claiborne County,Black,37,Female,Less than High School,Unemployed,14498.932342943675,2,5.360730583256343,0,0
Claiborne County,Black,31,Female,Bachelor's Degree,Employed,77864.45818728482,3,6.309732982743667,0,1
Claiborne County,Black,70,Male,High School,Employed,14891.234531880922,3,6.01289676309308,0,1
Claiborne County,Black,42,Male,High School,Employed,72466.75054336859,1,5.900893203778535,0,0
Claiborne County,Black,24,Male,Master's Degree,Employed,33294.12631991516,0,7.555372496753169,0,1
Claiborne County,White,31,Female,Less than High School,Unemployed,75448.16762728787,2,6.467811514267156,0,1
Claiborne County,Black,65,Female,Less than High School,Unemployed,15041.099433184016,2,9.675230342807255,0,1
Claiborne County,Black,56,Male,Bachelor's Degree,Employed,35767.737678292055,1,6.5314916446950235,0,0
Claiborne County,Black,24,Female,Master's Degree,Employed,77926.93539763351,0,4.823202932020755,0,0
Claiborne County,Black,61,Male,High School,Employed,14369.109876964543,1,7.026306870440713,1,1
Claiborne County,Black,27,Male,Some College,Employed,76736.22367755271,2,3.121811375337107,1,0
Claiborne County,Black,75,Female,Less than High School,Employed,14531.117916146371,1,8.75453328428273,0,1
Claiborne County,Black,27,Male,High School,Unemployed,36253.61968605007,4,6.566138499265152,0,1
Claiborne County,Black,63,Female,Master's Degree,Employed,77392.97635396241,2,6.554936753930534,0,0
Claiborne County,Other,20,Female,Master's Degree,Employed,15061.190632478316,0,4.751782295825365,1,1
Claiborne County,Black,67,Female,Less than High School,Employed,35735.84979518159,5,8.995047310606294,0,0
Claiborne County,Black,48,Female,Some College,Unemployed,34350.22539614311,4,5.7610539717801235,0,1
Claiborne County,White,30,Female,Less than High School,Unemployed,14956.751848399223,0,2.8709042966264806,1,1
Claiborne County,Black,36,Male,Some College,Employed,36125.72914198665,0,7.259019115767253,1,1
Claiborne County,Black,61,Male,Less than High School,Employed,34857.42819010625,2,5.109564333979897,0,0
Claiborne County,Black,49,Male,High School,Unemployed,34502.29392863905,1,3.0016074139373172,1,0
Claiborne County,Black,63,Male,Bachelor's Degree,Employed,74956.59335437724,2,7.282366001999983,1,0
Claiborne County,Black,25,Male,Bachelor's Degree,Employed,129103.11565546523,0,5.734375757083934,1,0
Claiborne County,Black,69,Female,Bachelor's Degree,Employed,122940.1005921359,4,2.1633063543866617,1,1
Claiborne County,Black,68,Male,High School,Unemployed,14510.642389703615,1,3.791649512533578,1,0
Claiborne County,Black,25,Female,High School,Unemployed,35742.04907115773,1,2.786936923254734,1,0
