County,Race,Age,Gender,Education Level,Employment Status,Income Level,Prior Convictions,Risk Score,Judge Decision,Re-offense
Copiah County,White,48,Female,Bachelor's Degree,Employed,34165.96989307567,1,8.774172213925253,0,1
Copiah County,Black,70,Male,High School,Unemployed,34114.425796751995,1,8.721142890255866,0,1
Copiah County,White,73,Male,High School,Employed,15609.381870781555,1,7.324791518535966,1,0
Copiah County,White,26,Male,Some College,Unemployed,34123.41169947327,0,6.118390181036443,1,0
Copiah County,White,38,Female,Master's Degree,Employed,73289.62294596473,0,2.793611184265462,1,0
Copiah County,White,42,Male,Less than High School,Employed,76945.48696813472,4,5.587193424403443,1,0
Copiah County,White,57,Male,Bachelor's Degree,Employed,74623.04881837904,1,4.5580836121682,1,1
Copiah County,Black,37,Female,Less than High School,Unemployed,15415.065835432773,1,1.0732352291549871,1,1
Copiah County,Black,33,Male,Some College,Unemployed,14348.049236346576,4,5.101115011743209,0,0
Copiah County,White,33,Male,Less than High School,Unemployed,14981.356790510075,1,10.41614515559209,0,0
Copiah County,White,70,Male,Master's Degree,Employed,71502.10200137462,3,4.520584494295802,1,0
Copiah County,White,51,Female,Some College,Unemployed,33469.286212093735,2,5.469909852161995,0,0
Copiah County,White,52,Male,High School,Employed,36422.531086705436,3,7.465419697120591,1,0
Copiah County,Black,41,Female,Less than High School,Employed,33737.358798911584,1,7.539742577085242,0,1
Copiah County,White,33,Female,Master's Degree,Employed,75243.15511706412,1,7.490919947531361,0,1
Copiah County,Black,26,Female,Less than High School,Unemployed,14866.643403901058,1,5.620085411824121,1,1
Copiah County,White,24,Female,High School,Employed,34465.701641905944,1,6.725939140143353,0,0
Copiah County,Black,47,Male,Some College,Employed,36399.416709905454,2,4.01980514530579,1,0
Copiah County,White,49,Female,Less than High School,Unemployed,33326.38188871421,3,6.904723026098963,1,0
Copiah County,White,38,Female,Some College,Employed,76228.42264631692,4,3.832983312158434,1,0
Copiah County,White,75,Female,Some College,Employed,15695.091651320326,3,3.0671117368334277,1,0
Copiah County,Black,23,Male,Less than High School,Employed,15090.252275192763,2,5.56739263278245,0,1
Copiah County,White,48,Female,High School,Employed,15655.233693049637,1,4.792144648535218,0,1
Copiah County,Black,35,Female,Bachelor's Degree,Employed,71641.93409464517,1,6.812906580611168,1,0
Copiah County,Black,60,Female,Bachelor's Degree,Employed,74390.94989305621,2,2.973641990530222,0,0
Copiah County,White,68,Male,High School,Employed,73201.18343221537,4,6.342211153671617,1,1
Copiah County,White,19,Female,Less than High School,Employed,35807.87337743255,0,4.69967378215836,0,1
Copiah County,Black,45,Male,Bachelor's Degree,Employed,78609.72817872935,1,3.008540663048167,1,0
Copiah County,White,53,Male,High School,Employed,14634.795093666371,1,4.073931655089634,1,1
Copiah County,White,55,Female,Bachelor's Degree,Employed,126927.1825184259,1,1.8185801650879991,1,0
Copiah County,White,51,Female,Less than High School,Unemployed,14547.146449139611,1,1.0215089703802878,1,1
Copiah County,White,50,Male,Some College,Employed,75489.97690928707,2,3.7364192989498335,1,0
Copiah County,White,42,Male,Less than High School,Unemployed,14945.898730032504,5,6.391072230179391,0,1
Copiah County,Black,24,Female,Some College,Unemployed,15708.007994447305,0,6.538662644704001,0,1
Copiah County,White,23,Male,Less than High School,Employed,35379.84545443763,2,4.372505626459647,1,0
Copiah County,Black,30,Male,High School,Unemployed,14774.259558130227,0,8.493435756986338,0,1
Copiah County,White,57,Male,Less than High School,Unemployed,14421.143677331898,1,0.9609227538346742,1,0
Copiah County,White,38,Female,Bachelor's Degree,Employed,72384.35121551201,2,6.4367409596089376,0,1
Copiah County,White,50,Male,Master's Degree,Employed,72939.87697463426,2,6.221079631814589,1,0
Copiah County,White,27,Male,High School,Employed,121887.08326675372,1,2.9640914962437606,1,0
Copiah County,Black,46,Male,Bachelor's Degree,Employed,129382.70072301422,1,2.7732229409068676,1,0
Copiah County,White,63,Male,High School,Unemployed,15091.834182423787,0,4.995176910111271,1,1
Copiah County,White,22,Male,Bachelor's Degree,Employed,35081.86818981028,2,4.534388521115218,1,0
Copiah County,Black,24,Male,Less than High School,Unemployed,14422.153307803825,0,10.818640804157564,0,1
Copiah County,White,59,Female,Master's Degree,Employed,36260.488926723025,1,7.614047970560027,1,0
Copiah County,White,46,Female,Some College,Employed,76671.10727406362,2,2.065008913741593,1,0
Copiah County,White,34,Female,High School,Employed,14351.502542850001,0,3.849368860871529,1,1
Copiah County,White,54,Female,High School,Employed,15311.752645844654,3,6.024081625413372,1,0
Copiah County,Other,68,Female,Bachelor's Degree,Employed,75326.53663006984,0,3.028026167605968,0,0
Copiah County,White,41,Female,Less than High School,Employed,33536.038710113724,1,4.684854455525527,1,0
Copiah County,White,47,Male,High School,Unemployed,34854.05224535029,3,8.751335404423294,1,1
Copiah County,Black,28,Male,Less than High School,Employed,14977.044430695069,0,3.165079694016669,1,1
Copiah County,White,73,Male,High School,Unemployed,72493.30905122457,1,5.439498941564189,0,0
Copiah County,White,58,Male,High School,Unemployed,78342.73610250211,0,4.315861880342119,1,0
Copiah County,White,31,Male,Bachelor's Degree,Employed,77624.81528610496,1,4.078319983048869,0,0
Copiah County,White,27,Male,High School,Unemployed,35591.57818065188,2,8.674998776036986,0,1
Copiah County,Black,32,Female,Bachelor's Degree,Employed,124528.69451250759,1,5.5061910024623035,0,0
Copiah County,Black,71,Male,High School,Employed,14867.648312376763,0,3.756786289935316,1,1
Copiah County,White,52,Female,High School,Employed,35528.40713502834,4,1.8180909155642153,1,1
Copiah County,Black,33,Female,High School,Unemployed,35159.01154292416,1,5.790396396915917,0,1
Copiah County,Other,73,Female,Bachelor's Degree,Employed,33467.9558705866,0,3.9109418317515856,0,0
Copiah County,White,53,Male,High School,Employed,15018.753973155497,2,7.634158450838234,1,0
Copiah County,Black,33,Male,High School,Unemployed,15459.60542584926,0,8.525980014643087,0,1
Copiah County,White,25,Female,Bachelor's Degree,Employed,34857.33957158935,0,2.9140519960161537,1,0
Copiah County,White,32,Female,High School,Unemployed,33431.84802143994,2,4.7809345096873805,1,0
Copiah County,White,57,Female,High School,Employed,15429.41729907605,1,1.0085392166316498,1,0
Copiah County,White,48,Male,Less than High School,Employed,14552.045673203962,1,4.640924224974762,1,1
Copiah County,Black,69,Female,Some College,Unemployed,34155.17292210813,3,2.1208787923016157,1,1
Copiah County,White,45,Female,Some College,Employed,14497.059530148443,2,8.234191158623588,0,0
Copiah County,White,34,Male,Bachelor's Degree,Employed,73726.61298653623,3,3.29213216196031,1,0
Copiah County,Black,55,Male,Bachelor's Degree,Employed,35898.63026991022,1,6.326693723155989,0,0
Copiah County,White,60,Female,Less than High School,Unemployed,35067.85050826378,1,1.879486272613669,1,0
Copiah County,Black,39,Female,Some College,Employed,33967.08445952749,5,4.505522117123602,0,0
Copiah County,White,38,Female,Less than High School,Employed,15566.745117228062,1,6.3785537141458,1,1
Copiah County,Black,70,Male,Some College,Unemployed,15569.372782427294,2,9.37234321892571,1,0
Copiah County,White,43,Female,Some College,Employed,36297.02448766102,2,3.137404300824593,1,0
Copiah County,White,44,Female,Less than High School,Unemployed,14608.194317072308,1,4.2170162773487565,1,0
Copiah County,Black,30,Male,High School,Unemployed,14926.85901627148,0,3.6592357213872724,1,1
Copiah County,White,55,Male,Less than High School,Employed,36697.463796493066,2,6.801852019961982,0,0
Copiah County,Black,32,Male,Some College,Employed,35952.04366708497,3,2.769521435715078,0,1
Copiah County,Black,62,Male,High School,Unemployed,14290.75113183834,1,5.363103425875594,0,0
Copiah County,White,68,Male,High School,Employed,14347.806886890738,3,9.221936628289605,0,1
Copiah County,Black,57,Male,Less than High School,Employed,34873.759818843166,1,5.797077629823179,0,0
Copiah County,Black,21,Female,High School,Unemployed,36432.27072051546,0,4.563558350286024,1,0
Copiah County,White,49,Male,Bachelor's Degree,Employed,125483.77247440892,1,1.9243929286862649,0,0
Copiah County,Black,27,Female,High School,Employed,34992.34377812001,0,9.650366644053495,0,0
Copiah County,White,55,Male,High School,Employed,33619.15794984821,1,3.1377637070028386,1,0
Copiah County,Black,70,Female,High School,Employed,35548.730366535034,1,6.165068965626256,0,0
Copiah County,Black,34,Female,Some College,Employed,15483.154740900336,3,4.309770194061061,0,1
Copiah County,White,47,Male,Some College,Unemployed,34581.47002627647,2,5.966657910194339,1,0
Copiah County,White,63,Male,High School,Employed,15413.417776387992,3,2.771756547562981,0,1
Copiah County,Black,62,Female,Some College,Employed,15696.714980851217,1,9.38384061700139,0,0
Copiah County,White,47,Male,High School,Employed,33963.18260694691,1,5.260785048616897,1,0
Copiah County,White,70,Female,Some College,Unemployed,75174.97223396057,1,7.085788076597295,0,0
Copiah County,Black,31,Female,Some College,Unemployed,34254.98285329602,2,7.379354051936385,0,0
Copiah County,White,63,Female,Some College,Employed,36024.99046661844,2,4.993795596364391,1,0
Copiah County,Black,59,Male,High School,Employed,35271.57678058405,5,7.031825961134792,0,1
Copiah County,Black,50,Female,High School,Employed,35471.03846142606,1,5.91304922203026,0,0
Copiah County,White,55,Male,Some College,Employed,36042.69955865562,2,4.5254191267440955,1,0
Copiah County,Black,33,Male,High School,Employed,14843.95570899368,0,4.607891426993305,0,1
Copiah County,White,45,Male,Some College,Employed,36452.81523942465,0,3.6251433485493876,1,0
Copiah County,Black,37,Female,Some College,Employed,35115.601035361484,1,7.190974575769293,1,0
Copiah County,White,67,Female,Some College,Unemployed,72434.6611712651,1,2.8886135886457964,0,1
Copiah County,White,52,Male,High School,Employed,35685.64691359081,4,4.006856552931763,0,1
Copiah County,White,45,Male,Bachelor's Degree,Employed,36026.41472653389,2,4.3260531791408745,0,0
Copiah County,White,72,Male,Some College,Employed,122709.52096334407,0,3.7994337833191,1,0
Copiah County,Black,34,Female,Master's Degree,Employed,77678.84442749064,4,7.856612676857008,0,1
Copiah County,Black,26,Male,High School,Unemployed,130076.79068457206,1,4.204440910834439,1,0
Copiah County,White,43,Male,Some College,Employed,14665.356731066713,4,3.7830385323932982,1,0
Copiah County,White,36,Male,Some College,Unemployed,36692.325154503276,1,2.746187945897276,1,0
Copiah County,Black,37,Female,Bachelor's Degree,Employed,14461.067292073136,4,7.663602324662029,0,1
Copiah County,Black,51,Male,Bachelor's Degree,Employed,72765.11751301867,3,3.7289770298032034,1,0
Copiah County,White,50,Female,Bachelor's Degree,Employed,121052.81049047533,1,1.0859395304685147,1,0
Copiah County,White,35,Female,Some College,Employed,36378.96398502754,1,4.246496303651534,1,0
Copiah County,White,70,Female,High School,Unemployed,35540.02393313737,2,5.133403756510424,1,0
Copiah County,White,40,Male,Less than High School,Unemployed,33782.36499127795,2,7.520044826262804,0,0
Copiah County,Other,24,Female,Bachelor's Degree,Employed,34791.13196428922,1,7.425140907658761,0,0
Copiah County,Black,18,Female,Less than High School,Unemployed,35403.54308774431,2,7.4985120942176575,1,0
Copiah County,White,67,Male,Some College,Employed,33542.12429746284,2,5.392558998489978,1,0
Copiah County,Black,53,Female,High School,Unemployed,15573.624552611009,0,7.055079138681911,0,0
Copiah County,Black,68,Male,Some College,Employed,77277.0265158115,1,7.430416217229688,1,0
Copiah County,White,44,Female,Bachelor's Degree,Employed,35018.223707518235,1,5.396091299923493,0,0
Copiah County,Black,60,Male,Bachelor's Degree,Employed,78503.44961444377,0,3.8544027799774914,0,0
Copiah County,Black,69,Male,High School,Employed,34712.163427462845,3,5.532062309433212,0,0
Copiah County,White,64,Female,High School,Employed,36694.38611662774,3,0.9455870325083884,1,0
Copiah County,Black,29,Male,Less than High School,Unemployed,35587.719995812695,0,4.927107788626256,0,0
