County,Race,Age,Gender,Education Level,Employment Status,Income Level,Prior Convictions,Risk Score,Judge Decision,Re-offense
Warren County,White,18,Male,High School,Unemployed,34165.96989307567,1,3.89963209507789,1,0
Warren County,Black,37,Male,High School,Employed,34114.425796751995,2,7.631000028973883,0,0
Warren County,White,49,Male,Less than High School,Unemployed,36421.89103182363,0,6.278392730173685,0,0
Warren County,White,33,Female,Less than High School,Employed,121869.32749811883,1,1.0197316968394072,1,0
Warren County,Black,19,Male,Bachelor's Degree,Employed,73289.62294596473,1,5.587222368530924,0,0
Warren County,Black,34,Female,Bachelor's Degree,Employed,35907.89391846287,2,4.655994520336203,0,0
Warren County,White,70,Female,Some College,Employed,34824.08944857689,2,1.8232334448672798,1,1
Warren County,White,45,Male,High School,Employed,35968.48694934314,0,5.3661761457749355,1,0
Warren County,Black,64,Female,Bachelor's Degree,Employed,33478.781551475346,1,5.101115011743209,0,0
Warren County,White,62,Male,Less than High School,Unemployed,14981.356790510075,2,6.249687093355255,1,0
Warren County,Black,29,Female,High School,Employed,14300.420400274923,1,5.424701393154963,0,0
Warren County,Black,33,Male,Less than High School,Employed,33469.286212093735,0,7.657873793026793,1,0
Warren County,Black,64,Female,High School,Employed,15609.656180016616,1,8.531908225280675,1,1
Warren County,Other,49,Male,Less than High School,Unemployed,14458.868056676392,6,5.654806932813932,1,0
Warren County,White,59,Female,Master's Degree,Employed,75243.15511706412,1,2.8090949803242604,1,0
Warren County,White,34,Female,Some College,Employed,34688.83460910247,1,4.683404509853434,0,0
Warren County,White,45,Male,High School,Unemployed,14771.014989388263,2,5.765090691551445,1,1
Warren County,White,23,Male,Some College,Unemployed,15599.750018530909,0,5.0247564316322375,1,1
Warren County,White,35,Female,Master's Degree,Employed,33326.38188871421,3,2.9591670111852695,0,0
Warren County,White,20,Male,Less than High School,Unemployed,76228.42264631692,2,2.8747374841188256,1,0
Warren County,White,39,Female,Some College,Employed,78475.45825660163,1,6.1342234736668555,1,0
Warren County,White,59,Female,Some College,Unemployed,75451.26137596382,2,4.639493860652042,1,0
Warren County,White,42,Male,Less than High School,Unemployed,36528.87861711582,0,4.792144648535218,0,0
Warren County,White,32,Male,High School,Employed,33432.90257750108,2,4.866361843293692,0,0
Warren County,White,42,Female,High School,Employed,34715.77661675956,4,3.964855987373629,0,1
Warren County,White,68,Female,Master's Degree,Employed,122001.97238702563,1,1.0570351922786028,1,0
Warren County,Black,52,Male,High School,Employed,15346.231447471093,3,3.759739025726688,0,0
Warren County,Black,28,Male,Less than High School,Unemployed,36684.53981674036,0,7.019928213779057,0,0
Warren County,Black,40,Male,High School,Employed,14634.795093666371,3,6.110897482634451,0,1
Warren County,Black,72,Female,Bachelor's Degree,Employed,15231.26190221111,3,8.183610742895997,0,1
Warren County,White,62,Female,High School,Unemployed,33943.34171465909,5,6.129053822281726,1,0
Warren County,Black,56,Female,Bachelor's Degree,Employed,15097.995381857414,2,9.341048247374584,0,0
Warren County,White,28,Male,Some College,Unemployed,74729.49365016252,0,1.826020637194112,1,0
Warren County,Black,71,Female,Bachelor's Degree,Employed,78540.03997223653,2,5.448885537253334,0,0
Warren County,Black,49,Male,High School,Unemployed,75813.95454522349,2,5.465632033074559,0,0
Warren County,White,61,Male,High School,Employed,14774.259558130227,1,5.308397348116461,1,1
Warren County,White,31,Female,High School,Unemployed,14421.143677331898,1,2.8827682615040224,1,1
Warren County,Black,33,Male,Less than High School,Employed,14476.870243102401,2,6.4367409596089376,0,0
Warren County,White,45,Male,Master's Degree,Employed,34038.60925482932,0,4.147386421209726,1,0
Warren County,White,63,Female,Some College,Unemployed,14626.449992010446,2,7.904243989983362,0,0
Warren County,Black,23,Male,Less than High School,Employed,129382.70072301422,1,0.9244076469689558,1,0
Warren County,Other,29,Female,Less than High School,Employed,15091.834182423787,1,4.995176910111271,1,0
